,,,,,,,,Prerequisites,,,,,,Major topics covered in the course/training opportunity,,,,,,
UK Data Service Video Tutorials,UK Data Service,Online,OER,"""View our growing range of training videos covering a variety of topics. Our online tutorial videos provide an engaging, self-paced and easily accessible alternative to our traditional written guides.""",No,https://www.ukdataservice.ac.uk/use-data/tutorials,,None,n,n,n,y,n,n,n,n,n,y,y,y
R Studio Online Learning,R Studio,Online,OER,"""A wealth of tutorials, articles, and examples exist to help you learn R and its extensions.""",No,https://www.rstudio.com/online-learning/#DataScience,This is an introduction to R,None,n,n,n,y,n,y,y,n,n,n,y,y
R bootcamp,"Ted Laderas, OHSU",Online,OER,"""This self-directed course is intended to introduce the novice programmer to the basics of R programming.""",No,https://www.coursesites.com/s/_Rbootcamp,,Novice programming skills,y,n,n,y,y,y,y,n,n,n,y,y
ERUDITE,BD2K Training Coordinating Center,Online,OER,"""ERuDIte is the educational resource discovery index that powers the BD2K Training Coordinating Center (TCC) Web Portal.""",No,http://www.bigdatau.org/about_erudite,Part of the NIH BD2K Initiative,None,n,n,n,y,n,y,y,y,y,y,y,y
Library Carpentry,Library Carpentry,In person ,Bootcamp,"""Library Carpentry is software skills training aimed at the needs and requirements of library professionals.""",Yes,http://librarycarpentry.github.io/about/,"Modules are available online (but I don't think to everyone, maybe just participants)",None,n,n,n,y,n,y,n,y,y,y,y,y
New England Science Boot Camp,"University of Massachusetts Medical School, Worcester",In person,Recurring course,"""The New England Science Boot Camp for Librarians is an annual two-and-a-half-day educational event offering librarians an opportunity to learn about science.""",Yes,http://esciencelibrary.umassmed.edu/professional-educ/science-boot-camp,,None,n,n,n,y,n,n,y,n,n,n,y,n
Software carpentry,Software Carpentry Foundation,In person,Recurring course,"""Teaching basic lab skills for research computing""",No,https://software-carpentry.org/,,None,n,n,n,y,n,y,n,y,n,n,n,n
Data carpentry,Software Carpentry Foundation,In person,Recurring course,"""Data Carpentry develops and teaches workshops on the fundamental data skills needed to conduct research. Our mission is to provide researchers high-quality, domain-specific training covering the full lifecycle of data-driven research.""",No,http://www.datacarpentry.org/,,None,n,n,n,y,n,y,n,y,n,y,y,y
Data science training and Big Data Science Courses,Data Science Academy,In person,Bootcamp,"""IN OUR SIX-WEEK BOOTCAMPS, WEEKEND WORKSHOPS, INTENSIVE 2-DAY COURSES, DOJOS & HACKS, YOU'LL LEARN DATA SCIENCE TOOLS, TECHNIQUES, AND FUNDAMENTAL CONCEPTS FROM TOP-CLASS INSTRUCTORS AND DATA SCIENTISTS IN LONDON.""",No,http://datascienceacademy.com/,Not sure if this is free or fee based,Basic programming ,y,n,n,y,y,y,y,y,n,y,y,y
Big Data and Analytics Summer School,University of Essex,In person,Single occurence,"""Our summer school is for graduates, students, researchers and professionals in the emerging fields of big data, data science and analytics who would like to find out more or be updated on the current trends and developments in this exciting and fast-developing field.""",No,http://www.essex.ac.uk/iads/events/default.aspx,Some courses have prerequisites,None,n,n,n,y,n,y,y,y,y,y,y,y
The CODATA-RDA Research Data Science Summer School,International Center for Theoretical Physics,In person,Single occurence,"""The Summer School (10-21 July 2017) will focus on growing competence in accessing, analyzing, visualizing, and publishing data.""",No,http://indico.ictp.it/event/7974/overview,It is open to participants from all disciplines and/or background from the sciences to humanities,None,n,n,n,y,n,y,n,y,n,y,y,y
Data Scientist Training for Librarians (DST4L),Technical University of Denmark,In person,Single occurence,"""Data Scientist Training for Librarians (DST4L) is an experimental course, started at the Harvard-Smithsonian Center for Astrophysics John G. Wolbach Library and the Harvard Library to train librarians to respond to the growing data needs of their communities.""",yes,"http://www.dst4l.info/","https://christianlauersen.net/2016/01/11/librarians-as-data-scientists/ http://altbibl.io/dst4l",None,n,n,n,y,n,y,n,y,n,y,y,y
